time,row,col,demand
613,0,2,36
468,2,2,21
488,0,4,8
185,1,4,7
703,0,2,56
151,5,3,7
90,2,7,69
424,7,5,12
65,6,2,3
497,5,1,0
410,6,6,0
558,3,7,16
114,4,5,33
355,5,6,102
400,0,1,11
301,1,7,117
724,7,6,163
94,2,6,83
548,4,1,40
594,7,5,10
313,1,7,97
128,3,2,0
409,5,0,0
423,6,4,7
64,5,2,3
305,1,3,55
557,3,5,126
564,3,5,32
8,4,1,0
306,2,0,0
13,0,2,90
538,2,2,0
219,6,4,0
374,6,2,7
473,6,4,111
358,7,6,6
12,4,5,44
681,6,2,0
346,6,0,0
345,6,2,0
588,2,4,17
514,0,5,0
593,7,2,0
453,1,6,53
596,4,3,78
471,0,6,146
449,4,3,91
318,4,7,20
606,1,1,11
275,3,2,0
435,7,1,0
624,1,1,19
541,3,4,49
544,0,1,15
669,0,7,223
55,1,1,0
693,4,5,255
731,2,7,154
672,7,5,12
236,3,0,0
236,6,4,0
227,6,2,0
484,0,1,8
48,3,5,69
725,6,0,0
711,4,4,0
452,5,4,20
165,3,4,124
155,5,0,0
45,3,3,37
218,5,1,0
701,3,4,238
581,5,0,0
93,0,6,132
531,0,4,80
460,2,4,56
497,4,6,64
16,1,1,14
55,2,0,0
160,3,0,41
319,5,6,0
230,2,2,0
53,2,1,0
471,2,3,324
619,6,4,57
501,3,6,384
481,6,2,14
212,1,4,81
100,2,1,0
633,5,2,0
437,1,7,45
453,1,7,73
329,5,6,93
394,4,5,7
722,0,7,390
533,2,4,71
710,0,5,0
359,3,3,60
343,1,2,6
395,7,0,0
623,2,0,0
602,6,3,0
619,3,0,0
136,2,1,0
596,7,3,10
263,1,6,62
136,0,7,170
526,3,0,0
445,0,3,20
291,7,7,0
712,5,2,0
307,3,5,104
722,7,4,73
150,5,7,0
708,2,6,91
417,4,6,0
409,2,1,7
216,2,7,29
229,6,5,16
466,3,4,0
225,2,7,5
378,0,1,11
437,5,4,20
729,6,6,45
601,2,7,220
450,4,6,45
321,0,0,6
81,4,2,0
675,5,4,41
518,7,2,0
484,7,5,0
622,3,6,110
80,1,2,16
689,3,2,0
215,6,3,5
298,7,1,0
418,4,4,7
442,5,4,0
85,1,3,272
478,3,5,560
614,3,5,75
499,0,0,14
472,6,3,8
18,1,2,120
26,4,3,49
695,2,4,140
192,6,1,12
293,3,5,64
183,2,4,15
579,7,2,0
89,1,1,22
264,3,5,84
569,7,3,0
421,7,0,0
362,2,2,57
11,6,3,3
149,7,1,0
3,5,0,0
399,2,6,149
24,4,6,32
162,5,1,0
660,5,7,0
463,0,1,0
28,5,5,0
514,7,1,0
351,7,3,0
612,7,5,11
252,7,1,0
553,3,0,16
522,0,2,91
456,6,1,0
642,4,7,67
150,6,0,0
142,3,4,70
510,4,3,76
671,4,2,0
271,2,4,0
596,7,7,10
676,1,5,86
209,3,0,8
266,7,6,9
256,0,6,72
194,6,6,8
292,6,0,0
408,6,4,12
457,4,1,13
201,3,5,0
417,1,1,0
172,7,7,4
660,6,0,0
459,5,5,0
349,4,1,6
304,5,7,9
168,3,7,15
276,7,0,0
195,4,2,0
499,0,2,28
348,2,1,0
641,1,4,37
543,1,7,151
697,6,0,0
398,5,3,11
648,7,1,0
663,2,7,470
154,7,5,7
496,4,0,0
116,5,5,54
650,0,6,114
30,7,0,0
381,7,0,0
440,1,0,0
144,4,1,4
494,6,3,0
358,7,4,21
393,4,4,0
20,3,4,145
519,4,0,0
195,3,1,0
261,5,1,0
475,0,4,69
132,1,0,0
144,5,5,44
726,7,7,45
637,6,4,0
83,2,3,284
434,1,2,53
685,2,2,66
376,5,3,74
125,1,7,0
538,7,1,0
544,7,0,0
352,4,2,0
673,5,4,12
405,1,4,23
160,2,0,4
642,5,4,30
317,5,0,0
36,6,4,18
487,0,7,8
396,2,6,37
692,7,6,0
273,4,3,29
670,5,6,470
269,1,3,38
302,5,3,15
10,0,6,196
284,2,5,47
505,5,7,76
712,3,4,0
484,6,5,14
196,4,6,5
617,0,1,11
657,6,2,0
329,6,2,6
535,7,6,0
96,0,6,13
522,4,4,38
142,4,3,46
271,0,6,0
262,1,4,58
271,3,3,5
215,1,4,20
327,0,0,36
173,6,4,0
381,2,1,0
652,4,5,102
94,1,4,28
0,0,0,0
101,0,7,0
390,2,2,41
75,5,3,0
100,5,0,0
344,0,0,0
578,7,4,78
296,5,1,0
401,6,7,0
684,4,1,0
716,1,1,0
250,7,4,5
464,4,3,48
512,6,2,0
436,1,0,8
628,0,5,49
206,7,0,0
576,1,4,88
504,2,0,9
607,1,7,46
15,0,7,118
495,3,7,64
665,2,5,204
46,0,6,109
139,3,1,4
